Temp,Salinity,DO,pH
25.3,20.4,7.01,7.9718
25.3,20.3,7.01,7.9644
24.9,20.9,7.12,7.9853
24.9,20.9,7.06,7.9835
24.9,21.1,6.96,7.9791
25,21.2,6.93,7.9764
25,20.5,7.05,7.9768
25.1,20.5,7.03,7.9781
25,20.5,7.03,7.9663
25,20.5,7.01,7.9687
25,20.4,7.02,7.9664
25,20.4,7.01,7.9656
25,20.4,7.08,7.964
25,20.4,7.06,7.9695
24.9,20.4,7.09,7.9637
25,20.4,7.02,7.9631
25.1,20.5,7.1,7.966
25.1,20.5,7.09,7.9659
25.1,20.3,6.97,7.981
25.1,20.3,6.97,7.9826
25,20.7,7.02,7.9857
25,20.7,7.02,7.9883
24.7,21.6,7,7.9842
24.7,21.6,6.98,7.9805
25.5,20.3,6.99,7.3888
25.5,20.4,7.01,7.3952
25.5,20.5,6.99,7.5575
25.5,20.5,6.97,7.571
25.8,20.5,7,7.4114
25.8,20.4,7.04,7.4127
25.1,20.8,7.03,7.3071
25.1,20.9,7.04,7.3147
25.4,21,6.94,7.3403
25.4,20.9,6.93,7.3457
25,20.9,7.02,7.3552
25,20.9,7,7.3589
25,21.1,7.01,7.3755
25.1,21.2,7.02,7.3731
25.1,20.5,7.01,7.3446
25.1,20.4,7.02,7.3445
25.1,20.5,7.07,7.3238
25.1,20.4,7.06,7.3323
25.1,20.4,7.04,7.3439
25.1,20.4,7.06,7.3434
25,20.4,7.03,7.3497
25.1,20.4,7.03,7.3585
25,20.4,7.03,7.3556
25.1,20.4,7.06,7.3675
25,20.4,6.96,7.35
25.1,20.4,6.95,7.3557
25.1,20.5,7,7.354
25.1,20.5,7.01,7.3482
25.1,20.3,6.93,7.358
25.1,20.3,6.95,7.3598
25.5,20.4,2.08,7.9466
25.5,20.4,2.18,7.9433
25.5,20.4,2.06,7.9478
25.5,20.4,2.09,7.9492
25.5,20.5,2.1,7.9537
25.5,20.5,2.05,7.9547
25,20.8,1.97,7.9443
25.1,20.9,2.06,7.9468
25,20.9,2.05,7.9375
25,20.9,2.04,7.9399
25.1,21.1,2.04,7.9426
25.1,21.1,2.03,7.9437
25.2,20.5,2.22,7.9374
25.1,20.4,2.14,7.9384
25.2,20.6,2.22,7.9278
25.2,20.6,2.12,7.9285
25.1,20.5,2.17,7.9358
25.1,20.5,2.17,7.9368
25.1,20.4,2.11,7.9492
25.1,20.4,2.11,7.9497
25.1,20.5,2.12,7.9492
25.2,20.5,2.09,7.9453
25.1,20.5,2.13,7.9557
25.2,20.5,2.11,7.95
25.5,20.4,2.01,7.3883
25.6,20.4,2.03,7.384
25.5,20.6,2.01,7.3965
25.5,20.5,2.09,7.3986
25.7,20.5,2.03,7.3921
25.8,20.5,2.07,7.3974
25.1,20.8,2.03,7.3945
25.1,20.8,2.07,7.3945
25.5,21,2.13,7.3805
25.5,20.9,2.2,7.3817
25.1,20.9,2.18,7.3684
25.1,20.9,2.17,7.364
25.8,20.9,2.05,7.3631
25.8,20.9,2.06,7.3552
25,21,2.05,7.356
25,21,2.05,7.3581
25.1,21.1,1.9,7.3108
25.1,21.1,1.99,7.3167
25.1,21.1,2,7.3338
25.1,21.1,1.92,7.3319
25,21.1,1.97,7.3465
25.1,21.1,1.94,7.352
25.1,21.1,1.93,7.3355
25.2,21.1,2.02,7.3441
25.2,21.1,2.01,7.3579
25.2,20.5,1.97,7.3701
25.2,20.5,2.08,7.3522
25.2,20.5,1.96,7.3622
25.2,20.5,2.03,7.3377
25.2,20.5,2.07,7.3434
25.2,20.5,2.11,7.3722
25.2,20.4,2.01,7.3628
25.2,20.4,2.07,7.359
25.2,20.5,2,7.3662
25.2,20.5,2.06,7.3403
25.2,20.5,2.03,7.3549
25.1,21.3,7.02,7.998
25.1,21.3,6.99,8.0016
24.7,20.9,7.04,7.9988
24.8,20.9,7.03,7.9989
24.8,20.4,7.04,8.0023
24.8,20.3,7.02,7.9993
24.8,21.3,7,7.3735
24.8,21.3,7.02,7.3766
24.8,21.2,6.99,7.3724
24.9,21.2,7.01,7.3676
24.8,20.9,7.02,7.3644
24.8,20.9,7.02,7.3707
24.8,20.3,7.02,7.3562
24.8,20.3,7.02,7.3592
25.1,21.3,1.96,7.4523
25.1,21.3,1.96,7.4541
25.2,21.3,1.98,7.4477
25.2,21.3,1.96,7.4423
24.9,21.2,2,7.4159
25,21.2,1.99,7.4156
19.5,27,13.73,8.15
22.4,35,8.46,6.54
20.1,16,6.76,7.1
19.2,17,7.98,7.85
21,34,4.78,7.1
21.8,27,14.02,7.3
20,35,7.01,7.62
19.3,32,7.51,7.91
21,34,5.91,7.29
20.6,34,7.63,7.85
18.7,19,1.33,7.42
21,37,11.37,7.96
19.4,33,2.44,7.58
19.5,34,9.8,8.04
20.5,36,10.67,7.85
20.3,35,11.6,7.96
19.9,37,4.65,8.03
18.9,33,2.38,7.58
19.4,35,9.41,8.03
19.8,35,11.19,7.91
20.2,34,12.95,8.04
19.4,36,13.21,8.04
19.4,36,3.5,7.63
19.3,34,6.09,7.63
19.5,34,8.29,7.97
19.6,36,10.7,7.96
19.8,35,8.99,7.86
19.2,37,8.41,7.9
19.5,34.6,9.52,7.96
19.4,32,9.44,7.9
19,36,4.86,7.81
19.6,36,10.91,7.97
20.2,35,12.6,8.09
19.7,38,12.5,8.05
19.3,34,10.19,8.03
19,33,10.07,7.99
18.7,35,2.21,7.67
19.5,36,11.3,7.98
20.2,35,6.78,7.86
19.5,37,10.89,8.04
19,36,9.87,7.9
19.7,35,7.58,7.93
18.9,37,9.8,8.04
19.5,36,11.66,8
19.9,36,7.61,7.86
19.6,36,10.37,8
18.9,38,9.93,7.97
18.9,34,6.23,7.83
19,36,6.32,7.81
19.6,36,11.31,8.02
20.2,34,9.56,7.99
19.3,35,8.57,7.91
18.8,39,9.59,7.98
19,34,4.51,7.8
19.3,35,7.86,7.79
19.7,36,11.35,8.02
19.5,34,9.75,7.98
17.7,35,11.22,8.07
18.8,33,9.63,7.99
19.6,35,12.56,8.19
19,36,6.41,7.76
19.5,36,10.63,8.03
19.6,35,12.72,8.13
19,36,12.34,8.06
18.8,37,9.63,7.99
19.7,35,12.47,8.16
18.8,37,9.36,7.96
19.2,36,10.27,8.07
19,35,9.63,7.96
18.7,36,5.37,7.76
19.4,36,13.02,8.18
18.8,35,9.39,7.98
18.9,36,7.92,7.72
18.9,36,9.64,7.96
18.9,35,9.49,7.85
18.7,37,9.05,7.97
18.8,37,9.41,7.98
18.8,36,7.8,7.82
18.9,35,9.55,7.96
18.9,36,9.36,7.76
18.7,37,9.33,7.99
